label,message
ham,"Hey, are you coming to the study session tomorrow afternoon?"
ham,Can you please call me back when you get a chance? It's not urgent.
ham,Dinner was amazing last night! We should go back to that restaurant soon.
ham,I'll pick you up at 7pm. Does that still work for you?
ham,Just checking in to see how you're feeling after your appointment.
ham,The meeting has been moved to Thursday at 2pm. Please let me know if you can attend.
ham,Happy birthday! Hope you have a wonderful day with family and friends.
ham,I'm running about 10 minutes late. Please go on ahead and I'll catch up.
ham,Did you see the game last night? What an incredible finish that was!
ham,The report is due on Friday. Let's meet tomorrow to finalise the last sections.
ham,Thanks for helping me move last weekend. I really appreciate it so much.
ham,I'll be in your area this weekend. Would you like to grab some coffee?
ham,The package was delivered this morning. Everything arrived in perfect condition.
ham,Can you send me the homework assignment? I think I missed the email.
ham,Looking forward to the weekend trip. Have you packed everything already?
ham,My internet is down at home. Is yours working fine right now?
ham,Just finished the book you recommended. It was absolutely fantastic!
ham,Are we still on for the gym session at six this morning?
ham,I need your help with something. Are you free sometime this week?
ham,The project deadline has been extended by one week. Great news for us!
ham,Let me know what time you want to meet for lunch and where.
ham,The kids are doing really well at school this term. So proud of them.
ham,I'm cooking dinner tonight. Do you have any food allergies I should know about?
ham,Just got back from holiday. I have so many photos to share with you.
ham,Remember to bring your ID to the event tomorrow. They're checking at the door.
ham,The flight is at 9am. We should get to the airport by 7am at the latest.
ham,Do you want to watch a film tonight? I've got a few good ones in mind.
ham,I found your keys on the kitchen counter. I'll bring them to work tomorrow.
ham,The doctor says everything looks fine. What a relief after all that worry.
ham,Can we reschedule our call to Friday instead of Thursday this week?
ham,Just wanted to say thank you for all your help with the presentation.
ham,I'll be working from home on Monday if you need to reach me for anything.
ham,The concert tickets arrived in the post today. So excited for next weekend!
ham,Could you please send me the address for Saturday's party? I've lost it.
ham,Great news — I got the job! Starting next Monday. I'm absolutely over the moon.
ham,The supermarket near us has closed down. We'll need to find somewhere else.
ham,I went to the library and got the books you asked about. I'll drop them off.
ham,My car is in the garage this week. Can you give me a lift on Wednesday?
ham,The weather this weekend looks fantastic. Perfect for the planned barbecue.
ham,Just a reminder that the rent is due at the end of the month as usual.
ham,I baked some brownies today. I'll bring you some when I see you tomorrow.
ham,Have you heard back from the university about your application yet?
ham,The film we watched last night was brilliant. Really glad you recommended it.
ham,I'll be volunteering at the charity event on Saturday. You should come along.
ham,The baby has finally started sleeping through the night. We're so relieved.
ham,Just wanted to check that you got home safely after the party last night.
ham,The gym is having a free open day on Sunday. Want to come and check it out?
ham,I'm making a shopping list. Is there anything you specifically need this week?
ham,Got stuck in terrible traffic on the motorway. Going to be very late home.
ham,Did you manage to get the tickets before they sold out completely?
spam,WINNER!! As a valued customer you have been selected to receive a £900 prize reward!
spam,Congratulations! You have won a FREE holiday for two. Reply WIN to claim now.
spam,FREE entry in our weekly competition to win cash prizes. Text ENTER to 88888.
spam,URGENT: Your account has been compromised. Click this link immediately to verify.
spam,You have been pre-approved for a loan of up to £5000. Apply now instantly!
spam,Get rich working from home! Earn £500 per day with our proven system. Call us!
spam,Your mobile number has won a £1000 Tesco gift card. Call 0800 to claim today.
spam,FINAL NOTICE: You owe £800 in unpaid taxes. Call immediately or face arrest.
spam,Lose 20kg in just 30 days with our miracle weight loss pill. Order now!
spam,Act fast! Limited time offer. Get iPhone 15 for free while stocks last!
spam,You have been randomly selected for a £500 survey reward. Click to claim!
spam,Make money online from home. No experience needed. Earn £200 per hour today!
spam,Your parcel could not be delivered. Confirm your address to rebook now. Click here.
spam,DATING: Hot singles in your area want to meet you tonight! Click here now.
spam,CONGRATS! You are today's lucky winner of a Samsung Galaxy S25. Claim now!
spam,Your subscription has been renewed for £39.99. To cancel reply STOP now.
spam,Bank security alert: Unusual activity detected. Verify your details immediately.
spam,Earn £500 daily by working just 2 hours from home with our proven method!
spam,You qualify for a government energy grant of £2400. Apply now before deadline!
spam,FREE ringtones for your phone! Download all the latest hits now. Text TONES.
spam,LIMITED OFFER: Get 100% free solar panels installed this week. Call now!
spam,Claim your free Amazon voucher worth £200. Just complete a quick survey today.
spam,Your account password needs to be reset immediately. Click this link to verify.
spam,WIN a brand new car! Enter our free weekly prize draw now. Click here to enter.
